atividade_principal,data_situacao,tipo,nome,efr,telefone,email,situacao,bairro,logradouro,numero,cep,municipio,fantasia,porte,abertura,natureza_juridica,uf,cnpj,ultima_atualizacao,status,complemento,motivo_situacao,situacao_especial,data_situacao_especial,atividades_secundarias,capital_social,qsa,message,atividade_principal_code,possui_atividade_secundaria,atividade_secundaria_list,is_ativo,tem_situacao_especial,natureza_juridica_code,idade_empresa,tem_socios,socios_list,socios_count
Administração pública em geral,16/07/2005,MATRIZ,MUNICIPIO DE BOM RETIRO,MUNICÍPIO DE BOM RETIRO,(49) 3277-0183 / (49) 3277-0148 / (49) 3277-0183,bomretiro@bomretiro.sc.gov.br,ATIVA,SAO JOSE,AVENIDA MAJOR GENEROSO,350,88.680-000,BOM RETIRO,BOM RETIRO PREF GABINETE DO PREFEITO,DEMAIS,23/12/1974,Município,SC,82.777.343/0001-21,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,27/08/2005,MATRIZ,MUNICIPIO DE LADARIO,MUNICÍPIO DE LADARIO,(67) 3226-1250 / (67) 3226-2002 / (67) 3226-2202,gabinete@ladario.ms.gov.br,ATIVA,CENTRO,RUA CORUMBA,500,79.370-000,LADARIO,MUNICIPIO DE LADARIO,DEMAIS,30/01/1975,Município,MS,03.330.453/0001-74,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,25/05/2000,MATRIZ,TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA,,,,ATIVA,JD YOLANDA,R GERALDINA V B CAMARGO,400,15.061-620,SAO JOSE DO RIO PRETO,REDEVIDA DE TELEVISAO,DEMAIS,03/10/1989,Sociedade Empresária Limitada,SP,61.413.092/0001-26,2020-07-22T14:22:18.942Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",340000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'JOAO MONTEIRO DE BARROS NETO'}, {'qual': '49-Sócio-Administrador', 'nome': 'LUIZ ANTONIO MONTEIRO DE BARROS'}]",,60.21-7-00,0,[],1,1,206-2,30,1,"['JOAO MONTEIRO DE BARROS NETO', 'LUIZ ANTONIO MONTEIRO DE BARROS']",2
Administração pública em geral,10/09/2005,MATRIZ,MUNICIPIO DE MARACAJU,MUNICÍPIO DE MARACAJU,,,ATIVA,CENTRO,R APPA,120,79.150-000,MARACAJU,PREFEITURA MUNICIPAL DE MARACAJU,DEMAIS,26/04/1974,Município,MS,03.442.597/0001-12,2020-08-26T17:03:19.632Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,46,0,[],0
Atividades de televisão aberta,16/11/2000,MATRIZ,FUNDACAO ESTADUAL JORNALISTA LUIZ CHAGAS DE RADIO E TELEVISAO EDUCATIVA DE MATO GROSSO DO SUL,,(67) 7267-903 / (67) 7268-832,,ATIVA,PARQUE DOS PODERES,RUA DESEMBARGADOR LEAO NETO DO CARMO,SN,79.031-902,CAMPO GRANDE,TV E RADIO EDUCATIVA DE MATO GROSSO DO SUL,DEMAIS,16/11/2000,Fundação Pública de Direito Público Estadual ou do Distrito Federal,MS,04.193.294/0001-76,2020-07-04T23:59:59.000Z,OK,PARQUE DOS PODERES,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}]",0.0,[],,60.21-7-00,1,['Atividades de rádio'],1,1,114-7,19,0,[],0
Atividades de televisão aberta,03/11/2005,MATRIZ,TELEVISAO LAGES LTDA,,(49) 3221-3186,,ATIVA,CENTRO,R CARLOS JOFRE DO AMARAL,67,88.501-015,LAGES,SCC TV PLANALTO,DEMAIS,16/12/1974,Sociedade Empresária Limitada,SC,83.012.013/0001-08,2020-07-21T13:26:57.605Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",1600000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'ROBERTO ROGERIO DO AMARAL'}, {'qual': '49-Sócio-Administrador', 'nome': 'RITA DE CASSIA RIBEIRO AMARAL'}, {'qual': '22-Sócio', 'nome': 'IONE MARILIA PARIZZI RAYMONDI'}, {'qual': '22-Sócio', 'nome': 'MAGALI PARIZZI'}, {'qual': '22-Sócio', 'nome': 'CARLOS JOFFRE DO AMARAL NETTO'}, {'qual': '22-Sócio', 'nome': 'ROBERTO DIMAS RIBEIRO DO AMARAL'}, {'qual': '22-Sócio', 'nome': 'MELISSA RIBEIRO DO AMARAL'}]",,60.21-7-00,0,[],1,1,206-2,45,1,"['CARLOS JOFFRE DO AMARAL NETTO', 'IONE MARILIA PARIZZI RAYMONDI', 'MAGALI PARIZZI', 'MELISSA RIBEIRO DO AMARAL', 'RITA DE CASSIA RIBEIRO AMARAL', 'ROBERTO DIMAS RIBEIRO DO AMARAL', 'ROBERTO ROGERIO DO AMARAL']",7
Administração pública em geral,14/12/2002,MATRIZ,MUNICIPIO DE TROMBUDO CENTRAL,MUNICÍPIO DE TROMBUDO CENTRAL,,,ATIVA,CENTRO,PRACA ARTUR SIEBERT,SN,89.176-000,TROMBUDO CENTRAL,MUNICIPIO DE TROMBUDO CENTRAL,DEMAIS,20/12/1974,Município,SC,83.102.731/0001-75,2020-07-04T23:59:59.000Z,OK,PREFEITURA MUNICIP,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,03/11/2005,MATRIZ,MUNICIPIO DE PRIMAVERA,MUNICÍPIO DE PRIMAVERA,,,ATIVA,,AVENIDA 17 DE DEZEMBRO,SN,68.707-000,PRIMAVERA,PRIMAVERA PREFEITURA GABINETE DO PREFEITO,DEMAIS,02/04/1975,Município,PA,05.149.141/0001-94,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
********,18/01/2019,MATRIZ,SISTEMA CARAJAS DE COMUNICACAO LTDA,,(94) 3424-0000 / (94) 3424-2263,rdo_empresa@hotmail.com,INAPTA,VILA PAULISTA,RUA WALTER NOLLI,339,68.552-720,REDENCAO,TV CARAJAS,MICRO EMPRESA,23/07/1991,Sociedade Empresária Limitada,PA,63.854.764/0001-64,2020-07-04T23:59:59.000Z,OK,,OMISSAO DE DECLARACOES,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",50000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'WAGNER OLIVEIRA FONTES'}]",,00.00-0-00,0,[],0,1,206-2,29,1,['WAGNER OLIVEIRA FONTES'],1
Atividades de televisão aberta,24/09/2005,MATRIZ,RADIO E TV CIDADE SUL DO PARA LTDA,,(94) 3424-3535 / (34) 3424-2078,,ATIVA,VILA PAULISTA,RUA CRISTO REI,211,68.552-692,REDENCAO,TV CIDADE,MICRO EMPRESA,17/10/1988,Sociedade Empresária Limitada,PA,22.970.503/0001-22,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",110000.0,"[{'qual': '22-Sócio', 'nome': 'CARLO IAVE FURTADO DE ARAUJO'}, {'qual': '49-Sócio-Administrador', 'nome': 'JOSUE FURTADO DE ARAUJO'}]",,60.21-7-00,0,[],1,1,206-2,31,1,"['CARLO IAVE FURTADO DE ARAUJO', 'JOSUE FURTADO DE ARAUJO']",2
